0,0,0
0.02,8.316923077,0.02
0.04,16.63384615,0.04
0.06,24.95076923,0.06
0.08,33.26769231,0.08
0.1,41.58461538,0.1
0.12,49.90153846,0.12
0.14,58.21846154,0.14
0.16,66.53538462,0.16
0.18,74.85230769,0.18
0.2,83.16923077,0.2
0.22,91.48615385,0.22
0.24,99.80307692,0.24
0.26,108.12,0.26
0.28,116.4369231,0.28
0.3,124.7538462,0.3
0.32,133.0707692,0.32
0.34,141.3876923,0.34
0.36,149.7046154,0.36
0.38,158.0215385,0.38
0.4,166.3384615,0.4
0.42,174.6553846,0.42
0.44,182.9723077,0.44
0.46,191.2892308,0.46
0.48,199.6061538,0.48
0.5,207.9230769,0.5
0.52,216.24,0.52
0.54,224.5569231,0.54
0.56,232.8738462,0.56
0.58,241.1907692,0.58
0.6,249.5076923,0.6
0.62,257.8246154,0.62
0.64,266.1415385,0.64
0.66,274.4584615,0.66
0.68,282.7753846,0.68
0.7,291.0923077,0.7
0.72,299.4092308,0.72
0.74,307.7261538,0.74
0.76,316.0430769,0.76
0.78,324.36,0.78
0.8,332.6769231,0.8
0.82,340.9938462,0.82
0.84,349.3107692,0.84
0.86,357.6276923,0.86
0.88,365.9446154,0.88
0.9,374.2615385,0.9
0.92,382.5784615,0.92
0.94,390.8953846,0.94
0.96,399.2123077,0.96
0.98,407.5292308,0.98
1,415.8461538,1
1.02,424.1630769,1.02
1.04,432.48,1.04
1.06,440.7969231,1.06
1.08,449.1138462,1.08
1.1,457.4307692,1.1
1.12,465.7476923,1.12
1.14,474.0646154,1.14
1.16,482.3815385,1.16
1.18,490.6984615,1.18
1.2,499.0153846,1.2
1.22,507.3323077,1.22
1.24,515.6492308,1.24
1.26,523.9661538,1.26
1.28,532.2830769,1.28
1.3,540.6,1.3
1.32,645.04,1.32
1.34,749.48,1.34
1.36,853.92,1.36
1.38,958.36,1.38
1.4,1062.8,1.4
1.42,1571.106667,1.42
1.44,2079.413333,1.44
1.46,2587.72,1.46
1.48,3096.026667,1.48
1.5,3604.333333,1.5
1.52,4112.64,1.52
1.54,4620.946667,1.54
1.56,5129.253333,1.56
1.58,5637.56,1.58
1.6,6145.866667,1.6
1.62,6654.173333,1.62
1.64,7162.48,1.64
1.66,7670.786667,1.66
1.68,8179.093333,1.68
1.7,8687.4,1.7
1.72,9734.78,1.72
1.74,10782.16,1.74
1.76,11829.54,1.76
1.78,12876.92,1.78
1.8,13924.3,1.8
1.82,15669.48,1.82
1.84,17414.66,1.84
1.86,19159.84,1.86
1.88,20905.02,1.88
1.9,22650.2,1.9
1.92,24395.38,1.92
1.94,26140.56,1.94
1.96,27885.74,1.96
1.98,29630.92,1.98
2,31376.1,2